# Force coefficients
# liftDir         : (-1.7364796312e-01 0.0000000000e+00 9.8480779084e-01)
# dragDir         : (9.8480779084e-01 0.0000000000e+00 1.7364796312e-01)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.2159694500e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
122               	8.9533442180e-02	1.6650916543e-02	1.0047622189e-01	1.3977155312e-01	-3.9295331237e-02
123               	7.3889151436e-02	2.4899309167e-02	1.5310359418e-01	1.5044094853e-01	2.6626456556e-03
124               	6.0157804236e-02	3.1691551400e-02	2.0017842025e-01	1.6024701436e-01	3.9931405886e-02
125               	4.4850600979e-02	3.9305828008e-02	2.4602148268e-01	1.6786134232e-01	7.8160140363e-02
126               	3.0076073811e-02	4.5983623535e-02	2.8634244441e-01	1.7324729602e-01	1.1309514840e-01
127               	1.7656727885e-02	4.9470469513e-02	3.1866964704e-01	1.7699155141e-01	1.4167809564e-01
128               	8.0478349826e-04	5.3898838290e-02	3.5540200001e-01	1.7850578350e-01	1.7689621651e-01
129               	-1.9970450377e-02	5.9998971021e-02	3.9537807767e-01	1.7771858846e-01	2.1765948921e-01
130               	-4.2363665816e-02	6.7966464754e-02	4.3647761873e-01	1.7587514355e-01	2.6060247518e-01
131               	-6.7135633456e-02	7.7513764759e-02	4.8392020715e-01	1.7482447012e-01	3.0909573703e-01
132               	-9.0496433668e-02	8.6354081335e-02	5.3106441127e-01	1.7503577197e-01	3.5602863930e-01
133               	-1.0779298110e-01	9.2292403200e-02	5.6773533566e-01	1.7607468673e-01	3.9166064893e-01
134               	-1.2078005850e-01	9.6239934177e-02	5.9587990164e-01	1.7715989232e-01	4.1872000932e-01
135               	-1.3296357216e-01	1.0003968281e-01	6.2084826775e-01	1.7746056172e-01	4.4338770604e-01
136               	-1.4571865646e-01	1.0454483786e-01	6.4545268729e-01	1.7700768718e-01	4.6844500010e-01
137               	-1.5975004331e-01	1.0997986573e-01	6.7229260559e-01	1.7639625949e-01	4.9589634610e-01
138               	-1.7387921945e-01	1.1560857607e-01	7.0009998593e-01	1.7617077352e-01	5.2392921241e-01
139               	-1.8605379547e-01	1.2045868531e-01	7.2473482020e-01	1.7631361463e-01	5.4842120557e-01
140               	-1.9548633045e-01	1.2425507771e-01	7.4435656244e-01	1.7669195077e-01	5.6766461167e-01
141               	-2.0251858852e-01	1.2731900720e-01	7.5936001625e-01	1.7716141961e-01	5.8219859665e-01
142               	-2.0811610570e-01	1.3009097616e-01	7.7176189413e-01	1.7776484137e-01	5.9399705277e-01
143               	-2.1243367453e-01	1.3257196339e-01	7.8215747380e-01	1.7864506237e-01	6.0351241143e-01
144               	-2.1514108961e-01	1.3447325767e-01	7.8993673914e-01	1.7982727996e-01	6.1010945918e-01
145               	-2.1564384392e-01	1.3545937986e-01	7.9372143627e-01	1.8121687422e-01	6.1250456205e-01
146               	-2.1377642590e-01	1.3544658555e-01	7.9289325752e-01	1.8267020286e-01	6.1022305466e-01
147               	-2.0992220216e-01	1.3465415296e-01	7.8825762153e-01	1.8420660861e-01	6.0405101292e-01
148               	-2.0431318092e-01	1.3320342569e-01	7.8043138362e-01	1.8590251089e-01	5.9452887273e-01
149               	-1.9698770698e-01	1.3106646049e-01	7.6948372621e-01	1.8775415612e-01	5.8172957009e-01
150               	-1.8807818703e-01	1.2825516611e-01	7.5556765956e-01	1.8970564274e-01	5.6586201681e-01
151               	-1.7775810991e-01	1.2478984527e-01	7.3889474210e-01	1.9168926114e-01	5.4720548096e-01
152               	-1.6622936119e-01	1.2074822918e-01	7.1990859717e-01	1.9372493740e-01	5.2618365977e-01
153               	-1.5378642113e-01	1.1626495560e-01	6.9922146276e-01	1.9582431025e-01	5.0339715251e-01
154               	-1.4077137701e-01	1.1147908396e-01	6.7744524650e-01	1.9795124624e-01	4.7949400026e-01
155               	-1.2762007016e-01	1.0658863753e-01	6.5549756464e-01	2.0012871215e-01	4.5536885248e-01
156               	-1.1492051992e-01	1.0185308514e-01	6.3466532727e-01	2.0241214371e-01	4.3225318356e-01
157               	-1.0297383241e-01	9.7406824329e-02	6.1564806976e-01	2.0485020247e-01	4.1079786729e-01
158               	-9.1796414859e-02	9.3227187176e-02	5.9854048823e-01	2.0747382926e-01	3.9106665898e-01
159               	-8.1382237226e-02	8.9269358917e-02	5.8332982223e-01	2.1028267389e-01	3.7304714834e-01
160               	-7.1883273022e-02	8.5551157287e-02	5.7017190902e-01	2.1320268149e-01	3.5696922753e-01
161               	-6.3212209262e-02	8.1969989192e-02	5.5870303891e-01	2.1613931019e-01	3.4256372872e-01
162               	-5.5121830737e-02	7.8381740372e-02	5.4817933002e-01	2.1896783427e-01	3.2921149575e-01
163               	-4.7735023630e-02	7.4828386749e-02	5.3847312084e-01	2.2150153679e-01	3.1697158405e-01
164               	-4.1646038217e-02	7.1621706476e-02	5.3032056905e-01	2.2351424631e-01	3.0680632274e-01
165               	-3.7072801327e-02	6.8884199557e-02	5.2395402320e-01	2.2490421027e-01	2.9904981293e-01
166               	-3.3701579118e-02	6.6522749723e-02	5.1892302747e-01	2.2575993462e-01	2.9316309285e-01
167               	-3.0876549835e-02	6.4271197687e-02	5.1424923157e-01	2.2624806595e-01	2.8800116562e-01
168               	-2.8089177131e-02	6.1969956083e-02	5.0919279089e-01	2.2650721831e-01	2.8268557257e-01
169               	-2.5579208762e-02	5.9758109759e-02	5.0427498960e-01	2.2655828604e-01	2.7771670356e-01
170               	-2.4228668140e-02	5.8059980503e-02	5.0118343381e-01	2.2636304876e-01	2.7482038504e-01
171               	-2.4371370920e-02	5.7015354027e-02	5.0078919329e-01	2.2602322572e-01	2.7476596756e-01
172               	-2.5508068181e-02	5.6422149105e-02	5.0246106601e-01	2.2572246482e-01	2.7673860119e-01
173               	-2.6710190559e-02	5.5926872455e-02	5.0464746949e-01	2.2561354419e-01	2.7903392530e-01
174               	-2.7356397448e-02	5.5270721159e-02	5.0602423463e-01	2.2565571987e-01	2.8036851476e-01
175               	-2.7387772208e-02	5.4466432703e-02	5.0623223662e-01	2.2572834610e-01	2.8050389052e-01
176               	-2.7457077589e-02	5.3782173902e-02	5.0646607160e-01	2.2577595821e-01	2.8069011339e-01
177               	-2.8007401100e-02	5.3398903787e-02	5.0785497174e-01	2.2592008477e-01	2.8193488697e-01
178               	-2.8835331973e-02	5.3217683060e-02	5.1028700567e-01	2.2630817086e-01	2.8397883481e-01
179               	-2.9577024734e-02	5.3100981040e-02	5.1311828905e-01	2.2698211979e-01	2.8613616926e-01
180               	-2.9828114838e-02	5.2880159522e-02	5.1526418623e-01	2.2780397828e-01	2.8746020795e-01
181               	-2.9359452433e-02	5.2433139458e-02	5.1594759026e-01	2.2861434270e-01	2.8733324756e-01
182               	-2.8399963788e-02	5.1832984290e-02	5.1552561682e-01	2.2936284462e-01	2.8616277220e-01
183               	-2.7543136368e-02	5.1308475021e-02	5.1538860059e-01	2.3015116393e-01	2.8523743666e-01
184               	-2.6913079189e-02	5.0923334188e-02	5.1597394061e-01	2.3107389112e-01	2.8490004949e-01
185               	-2.6236347997e-02	5.0568378295e-02	5.1672775707e-01	2.3212753054e-01	2.8460022653e-01
186               	-2.5063480749e-02	5.0038437508e-02	5.1656184294e-01	2.3321744072e-01	2.8334440222e-01
187               	-2.3217928822e-02	4.9234438959e-02	5.1495951069e-01	2.3426182652e-01	2.8069768417e-01
