# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
182               	-9.8614660266e-05	9.9187747113e-03	4.5482863894e-04	1.2879965920e-04	3.2602897974e-04
183               	-9.8591956699e-05	9.9096553997e-03	4.5391473220e-04	1.2836540940e-04	3.2554932280e-04
184               	-9.8490411108e-05	9.9010469229e-03	4.5305807481e-04	1.2803862630e-04	3.2501944851e-04
185               	-9.8183551196e-05	9.8937047981e-03	4.5173059739e-04	1.2768174750e-04	3.2404884989e-04
186               	-9.7735735476e-05	9.8871885777e-03	4.4996058389e-04	1.2724455647e-04	3.2271602742e-04
187               	-9.7290973038e-05	9.8806032114e-03	4.4812104080e-04	1.2676954736e-04	3.2135149344e-04
188               	-9.6930477726e-05	9.8734010799e-03	4.4651683693e-04	1.2632794074e-04	3.2018889619e-04
189               	-9.6624214124e-05	9.8656598675e-03	4.4516022905e-04	1.2595590040e-04	3.1920432865e-04
190               	-9.6289033412e-05	9.8578363144e-03	4.4385518223e-04	1.2563855770e-04	3.1821662453e-04
191               	-9.5873959520e-05	9.8503423167e-03	4.4242213521e-04	1.2533710808e-04	3.1708502713e-04
192               	-9.5394876410e-05	9.8432695040e-03	4.4083783862e-04	1.2502404290e-04	3.1581379572e-04
193               	-9.4906797675e-05	9.8364035354e-03	4.3920914512e-04	1.2469777488e-04	3.1451137023e-04
194               	-9.4452723104e-05	9.8294483036e-03	4.3765123541e-04	1.2437289460e-04	3.1327834081e-04
195               	-9.3952074118e-05	9.8222351085e-03	4.3548562925e-04	1.2379074051e-04	3.1169488874e-04
196               	-9.3642428256e-05	9.8139044462e-03	4.3447856553e-04	1.2359685451e-04	3.1088171102e-04
197               	-9.3478358945e-05	9.8054211472e-03	4.3469253497e-04	1.2386790854e-04	3.1082462643e-04
198               	-9.2861203316e-05	9.7997352646e-03	4.3233185658e-04	1.2330472497e-04	3.0902713161e-04
199               	-9.2257425378e-05	9.7941880190e-03	4.3003055584e-04	1.2275785254e-04	3.0727270330e-04
200               	-9.1887313387e-05	9.7867870605e-03	4.2876853542e-04	1.2249695432e-04	3.0627158110e-04
201               	-9.1654721256e-05	9.7782954996e-03	4.2814939653e-04	1.2241997701e-04	3.0572941952e-04
202               	-9.1334399350e-05	9.7705991488e-03	4.2724145800e-04	1.2228632965e-04	3.0495512835e-04
203               	-9.0846637072e-05	9.7642559498e-03	4.2569698442e-04	1.2200185514e-04	3.0369512928e-04
204               	-9.0295163103e-05	9.7582501887e-03	4.2390244199e-04	1.2165605789e-04	3.0224638410e-04
205               	-8.9806259361e-05	9.7515274168e-03	4.2234652845e-04	1.2136700486e-04	3.0097952359e-04
206               	-8.9397186299e-05	9.7440922839e-03	4.2110813748e-04	1.2115688244e-04	2.9995125504e-04
207               	-8.8994317681e-05	9.7366658317e-03	4.1992185213e-04	1.2096660839e-04	2.9895524375e-04
208               	-8.8532416708e-05	9.7297492465e-03	4.1854700413e-04	1.2074108536e-04	2.9780591877e-04
209               	-8.8012861931e-05	9.7232305877e-03	4.1698176408e-04	1.2047802011e-04	2.9650374397e-04
210               	-8.7480667732e-05	9.7167064759e-03	4.1538002977e-04	1.2020934715e-04	2.9517068261e-04
211               	-8.6969820414e-05	9.7099480340e-03	4.1385572860e-04	1.1995804389e-04	2.9389768471e-04
212               	-8.6478444059e-05	9.7030300328e-03	4.1239420557e-04	1.1971865872e-04	2.9267554684e-04
213               	-8.5985664483e-05	9.6961483192e-03	4.1091699894e-04	1.1947283499e-04	2.9144416395e-04
214               	-8.5479878069e-05	9.6894132256e-03	4.0938040165e-04	1.1921032276e-04	2.9017007889e-04
215               	-8.4967927412e-05	9.6827987480e-03	4.0780576473e-04	1.1893495495e-04	2.8887080978e-04
216               	-8.4463234444e-05	9.6762213933e-03	4.0623826372e-04	1.1865589742e-04	2.8758236630e-04
217               	-8.3971256250e-05	9.6696225748e-03	4.0469743290e-04	1.1837746020e-04	2.8631997270e-04
218               	-8.3486863704e-05	9.6629958529e-03	4.0316812591e-04	1.1809719925e-04	2.8507092666e-04
219               	-8.3002199617e-05	9.6563712952e-03	4.0162609503e-04	1.1781084790e-04	2.8381524713e-04
220               	-8.2514353834e-05	9.6497817349e-03	4.0006243544e-04	1.1751686388e-04	2.8254557155e-04
221               	-8.2025958243e-05	9.6432430333e-03	3.9848548891e-04	1.1721678621e-04	2.8126870270e-04
222               	-8.1540658734e-05	9.6367473276e-03	3.9690659816e-04	1.1691264034e-04	2.7999395781e-04
223               	-8.1059255473e-05	9.6302752082e-03	3.9532845370e-04	1.1660497138e-04	2.7872348232e-04
